sample,chromosome,start,end,strand,unique_reads,multi_reads,total_reads,junction_type,junction_id
sample_1_Aligned.sortedByCoord.out,chr6,5090597,5095736,+,10,0,10,known,chr6:5090597-5095736
sample_1_Aligned.sortedByCoord.out,chr7,9082054,9083685,-,7,1,8,known,chr7:9082054-9083685
sample_1_Aligned.sortedByCoord.out,chr1,29573330,29582339,+,14,1,15,known,chr1:29573330-29582339
sample_1_Aligned.sortedByCoord.out,chr18,46825503,46830547,+,11,2,13,known,chr18:46825503-46830547
sample_1_Aligned.sortedByCoord.out,chr5,18315145,18319243,+,14,0,14,known,chr5:18315145-18319243
sample_1_Aligned.sortedByCoord.out,chr18,11333854,11340062,+,13,2,15,known,chr18:11333854-11340062
sample_1_Aligned.sortedByCoord.out,chr1,19488400,19496861,-,13,1,14,known,chr1:19488400-19496861
sample_1_Aligned.sortedByCoord.out,chr9,48611532,48616855,-,15,4,19,novel,chr9:48611532-48616855
sample_1_Aligned.sortedByCoord.out,chr18,1405501,1407436,+,11,1,12,known,chr18:1405501-1407436
sample_1_Aligned.sortedByCoord.out,chr2,43480704,43482366,+,8,4,12,known,chr2:43480704-43482366
sample_1_Aligned.sortedByCoord.out,chr3,47003193,47009178,+,15,0,15,novel,chr3:47003193-47009178
sample_1_Aligned.sortedByCoord.out,chr7,38716284,38725597,+,10,6,16,known,chr7:38716284-38725597
sample_1_Aligned.sortedByCoord.out,chr15,46277482,46287320,+,14,2,16,known,chr15:46277482-46287320
sample_1_Aligned.sortedByCoord.out,chr8,47301522,47307824,+,11,4,15,known,chr8:47301522-47307824
sample_1_Aligned.sortedByCoord.out,chr6,19339816,19348233,-,8,0,8,known,chr6:19339816-19348233
sample_1_Aligned.sortedByCoord.out,chr2,27660313,27667409,+,11,0,11,known,chr2:27660313-27667409
sample_1_Aligned.sortedByCoord.out,chr15,34176403,34183088,-,13,3,16,known,chr15:34176403-34183088
sample_1_Aligned.sortedByCoord.out,chr19,41660533,41666836,-,11,3,14,novel,chr19:41660533-41666836
sample_1_Aligned.sortedByCoord.out,chr10,14863322,14863557,-,13,3,16,known,chr10:14863322-14863557
sample_1_Aligned.sortedByCoord.out,chr20,43410981,43415113,-,7,1,8,known,chr20:43410981-43415113
sample_1_Aligned.sortedByCoord.out,chr7,3270539,3275642,+,10,1,11,known,chr7:3270539-3275642
sample_1_Aligned.sortedByCoord.out,chr13,37176108,37178910,-,6,2,8,known,chr13:37176108-37178910
sample_1_Aligned.sortedByCoord.out,chr7,41970319,41974220,-,10,1,11,known,chr7:41970319-41974220
sample_1_Aligned.sortedByCoord.out,chr13,24855445,24860347,+,10,0,10,known,chr13:24855445-24860347
sample_1_Aligned.sortedByCoord.out,chr16,19864953,19867295,+,13,2,15,known,chr16:19864953-19867295
sample_1_Aligned.sortedByCoord.out,chr3,1612044,1618198,+,7,5,12,known,chr3:1612044-1618198
sample_1_Aligned.sortedByCoord.out,chr21,8492827,8500143,-,16,1,17,known,chr21:8492827-8500143
sample_1_Aligned.sortedByCoord.out,chr21,12879316,12880466,-,4,4,8,known,chr21:12879316-12880466
sample_1_Aligned.sortedByCoord.out,chr2,28609145,28610615,+,11,2,13,novel,chr2:28609145-28610615
sample_1_Aligned.sortedByCoord.out,chr19,44090599,44096879,-,13,1,14,known,chr19:44090599-44096879
sample_1_Aligned.sortedByCoord.out,chr12,1857198,1864971,-,9,1,10,known,chr12:1857198-1864971
sample_1_Aligned.sortedByCoord.out,chr10,5662001,5670738,+,11,6,17,known,chr10:5662001-5670738
sample_1_Aligned.sortedByCoord.out,chr19,1525802,1532919,-,10,3,13,known,chr19:1525802-1532919
sample_1_Aligned.sortedByCoord.out,chr15,9306459,9315019,+,11,0,11,known,chr15:9306459-9315019
sample_1_Aligned.sortedByCoord.out,chr18,46643239,46647521,-,10,3,13,known,chr18:46643239-46647521
sample_1_Aligned.sortedByCoord.out,chr16,38751832,38755246,+,10,2,12,known,chr16:38751832-38755246
sample_1_Aligned.sortedByCoord.out,chr22,17366312,17375201,+,9,1,10,novel,chr22:17366312-17375201
sample_1_Aligned.sortedByCoord.out,chr15,21718808,21727555,+,13,4,17,known,chr15:21718808-21727555
sample_1_Aligned.sortedByCoord.out,chr14,4449483,4454795,-,10,4,14,known,chr14:4449483-4454795
sample_1_Aligned.sortedByCoord.out,chr19,43630263,43635478,+,9,3,12,known,chr19:43630263-43635478
sample_1_Aligned.sortedByCoord.out,chr5,36249163,36252626,-,12,4,16,known,chr5:36249163-36252626
sample_1_Aligned.sortedByCoord.out,chr1,45335719,45341608,+,10,2,12,novel,chr1:45335719-45341608
sample_1_Aligned.sortedByCoord.out,chr16,29930831,29938061,-,13,4,17,known,chr16:29930831-29938061
sample_1_Aligned.sortedByCoord.out,chr1,21118512,21126233,-,8,2,10,known,chr1:21118512-21126233
sample_1_Aligned.sortedByCoord.out,chr18,37985400,37991927,+,14,1,15,known,chr18:37985400-37991927
sample_1_Aligned.sortedByCoord.out,chr10,7352304,7358995,-,13,1,14,known,chr10:7352304-7358995
sample_1_Aligned.sortedByCoord.out,chr6,45970278,45974267,+,12,1,13,known,chr6:45970278-45974267
sample_1_Aligned.sortedByCoord.out,chr15,24987773,24990146,+,15,2,17,known,chr15:24987773-24990146
sample_1_Aligned.sortedByCoord.out,chr17,26483363,26487814,-,11,5,16,known,chr17:26483363-26487814
sample_1_Aligned.sortedByCoord.out,chr1,37958434,37964822,+,8,3,11,known,chr1:37958434-37964822
sample_1_Aligned.sortedByCoord.out,chr14,13605539,13610811,+,13,0,13,known,chr14:13605539-13610811
sample_1_Aligned.sortedByCoord.out,chr12,44692867,44699469,-,7,6,13,known,chr12:44692867-44699469
sample_1_Aligned.sortedByCoord.out,chr19,7159701,7164568,+,11,1,12,known,chr19:7159701-7164568
sample_1_Aligned.sortedByCoord.out,chr22,14755150,14757013,+,10,0,10,known,chr22:14755150-14757013
sample_1_Aligned.sortedByCoord.out,chr8,10057410,10063707,+,9,2,11,novel,chr8:10057410-10063707
sample_1_Aligned.sortedByCoord.out,chr6,11857736,11858847,+,7,1,8,known,chr6:11857736-11858847
