event_id,event_type,chromosome,strand,gene_name,common_start,short_exon_end,long_exon_end,sample,psi,inclusion_reads,exclusion_reads,total_reads,confidence
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_1_Aligned.sortedByCoord.out,0.6574837751213041,17,13,30,high
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_2_Aligned.sortedByCoord.out,0.3583353996281828,28,22,50,high
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_3_Aligned.sortedByCoord.out,0.40152974418725557,18,20,38,high
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_4_Aligned.sortedByCoord.out,0.2572976555258433,26,19,45,high
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_5_Aligned.sortedByCoord.out,0.3927070742951935,28,12,40,high
A5SS_chr6_11266093_0,A5SS,chr6,-,GENE_0000,11266093,11266593,11266688,sample_6_Aligned.sortedByCoord.out,0.5904167712766903,18,11,29,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_1_Aligned.sortedByCoord.out,0.5142203654335538,20,10,30,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_2_Aligned.sortedByCoord.out,0.37906566603059033,25,17,42,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_3_Aligned.sortedByCoord.out,0.5048622862838122,19,20,39,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_4_Aligned.sortedByCoord.out,0.1742505154040343,21,11,32,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_5_Aligned.sortedByCoord.out,0.5706345360432779,23,16,39,high
A5SS_chr10_23607074_1,A5SS,chr10,-,GENE_0001,23607074,23607574,23607750,sample_6_Aligned.sortedByCoord.out,0.33599250816431186,21,11,32,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_1_Aligned.sortedByCoord.out,0.8078377591154831,22,18,40,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_2_Aligned.sortedByCoord.out,0.6200028261305858,7,16,23,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_3_Aligned.sortedByCoord.out,0.34151766817988527,13,11,24,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_4_Aligned.sortedByCoord.out,0.894113812538859,16,26,42,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_5_Aligned.sortedByCoord.out,0.8399748240564096,30,12,42,high
A5SS_chr22_22387333_2,A5SS,chr22,+,GENE_0002,22387333,22387833,22388011,sample_6_Aligned.sortedByCoord.out,0.7658035710773021,23,19,42,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_1_Aligned.sortedByCoord.out,0.12144631535587684,14,15,29,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_2_Aligned.sortedByCoord.out,0.7841668950944758,21,16,37,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_3_Aligned.sortedByCoord.out,0.8269535001114139,24,15,39,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_4_Aligned.sortedByCoord.out,0.12149231654972309,23,15,38,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_5_Aligned.sortedByCoord.out,0.6029536187959175,24,12,36,high
A5SS_chr18_49863719_3,A5SS,chr18,+,GENE_0003,49863719,49864219,49864407,sample_6_Aligned.sortedByCoord.out,0.636552969968937,19,7,26,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_1_Aligned.sortedByCoord.out,0.4825658284929819,14,20,34,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_2_Aligned.sortedByCoord.out,0.6607724759797005,16,15,31,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_3_Aligned.sortedByCoord.out,0.558866432060066,19,21,40,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_4_Aligned.sortedByCoord.out,0.8144153566024201,13,16,29,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_5_Aligned.sortedByCoord.out,0.8602028914041897,21,16,37,high
A5SS_chr1_32434137_4,A5SS,chr1,+,GENE_0004,32434137,32434637,32434757,sample_6_Aligned.sortedByCoord.out,0.7380682322970831,24,11,35,high
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_1_Aligned.sortedByCoord.out,0.42704666259101715,25,21,46,high
A5SS_chr16_38478377_5,A5SS,chr16,+,GENE_0005,38478377,38478877,38479015,sample_2_Aligned.sortedByCoord.out,0.7118429180909083,28,19,47,high
